,Unnamed: 0,name,birthday,year,month,day,星座,财富值（亿美元）
0,0.0,Jeff Bezos,1964-01-12,1964.0,1.0,12.0,摩羯,1120
1,1.0,Bill Gates,1955-10-28,1955.0,10.0,28.0,天蝎,900
2,2.0,Warren Buffett,1930-08-30,1930.0,8.0,30.0,处女,840
3,3.0,Bernard Arnault,1949-03-05,1949.0,3.0,5.0,双鱼,720
4,4.0,Mark Zuckerberg,1984-05-14,1984.0,5.0,14.0,金牛,710
5,5.0,Amancio Ortega,1936-03-28,1936.0,3.0,28.0,白羊,700
6,6.0,Carlos Slim Helu,1940-01-28,1940.0,1.0,28.0,水瓶,671
7,7.0,Charles Koch,1935-11-01,1935.0,11.0,1.0,天蝎,600
8,8.0,David Koch,1940-05-03,1940.0,5.0,3.0,金牛,600
9,9.0,Larry Ellison,1944-08-17,1944.0,8.0,17.0,狮子,585
10,10.0,Michael Bloomberg,1942-02-14,1942.0,2.0,14.0,水瓶,500
11,11.0,Larry Page,1973-03-26,1973.0,3.0,26.0,白羊,488
12,12.0,Sergey Brin,1973-08-21,1973.0,8.0,21.0,狮子,475
13,13.0,Jim Walton,1948-06-07,1948.0,6.0,7.0,双子,464
14,14.0,S. Robson Walton,1944-10-28,1944.0,10.0,28.0,天蝎,462
15,15.0,Alice Walton,1949-10-07,1949.0,10.0,7.0,天秤,460
16,16.0,Ma Huateng,1971-10-29,1971.0,10.0,29.0,天蝎,453
17,17.0,Francoise Bettencourt Meyers,1953-07-10,1953.0,7.0,10.0,巨蟹,422
18,18.0,Mukesh Ambani,1957-04-19,1957.0,4.0,19.0,白羊,401
19,19.0,Jack Ma,1964-09-10,1964.0,9.0,10.0,处女,390
20,20.0,Sheldon Adelson,1933-08-04,1933.0,8.0,4.0,狮子,385
21,21.0,Steve Ballmer,1956-03-24,1956.0,3.0,24.0,白羊,384
22,22.0,Li Ka-shing,1928-06-13,1928.0,6.0,13.0,双子,349
